         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   760817    0.108    0.000    0.108    0.000 {built-in method builtins.issubclass}
   137956    0.071    0.000    0.106    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copyreg.py:94(__newobj__)
        4    0.001    0.000    0.106    0.027 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:449(remove_edges_of_train_from_o_stations_d)
       15    0.000    0.000    0.106    0.007 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:89(convert_json_to_update_train_times)
      996    0.003    0.000    0.103    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:320(_encode_target)
      996    0.014    0.000    0.098    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:580(from_httplib)
   475469    0.084    0.000    0.084    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:46(section_track_id)
     1992    0.008    0.000    0.082    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:118(extract_cookies_to_jar)
      996    0.011    0.000    0.082    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:82(_encode_params)
      996    0.008    0.000    0.081    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:47(proxy_bypass_registry)
   221112    0.057    0.000    0.078    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\os.py:740(check_str)
      312    0.002    0.000    0.077    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:97(convert_json_to_update_train_times_node)
      996    0.002    0.000    0.076    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1239(endheaders)
   215136    0.074    0.000    0.074    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\os.py:697(__iter__)
        1    0.001    0.001    0.074    0.074 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:64(operator_cancel)
      996    0.004    0.000    0.074    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1001(_send_output)
   399168    0.071    0.000    0.071    0.000 {method 'toordinal' of 'datetime.date' objects}
     1042    0.003    0.000    0.069    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:942(send)
     4980    0.013    0.000    0.068    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:40(__init__)
   320453    0.067    0.000    0.067    0.000 {method 'endswith' of 'str' objects}
     2988    0.008    0.000    0.067    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:37(__init__)
     1042    0.066    0.000    0.066    0.000 {method 'sendall' of '_socket.socket' objects}
