fromZone, toZone,distance
21,191,37133.292
21,192,61743.633
21,193,49710.368
21,194,47911.992
21,195,54228.609
21,196,63943.715
21,197,43150.973
21,198,53367.127
21,199,34954.741
21,200,32928.448
21,211,30285.323
21,212,25550.113
21,213,21976.668
21,214,10579.77
21,215,28545.963
21,216,8681
21,217,26934.923
21,218,26764.871
21,219,20873.447
21,220,35632.535
21,221,10948.615
21,222,32169.07
21,223,23281.357
21,224,23298.233
21,225,24237.234
21,226,32098.165
21,227,12470
21,228,33453.507
21,229,21248.611
21,231,28725.385
21,241,60684.8
21,242,57173.704
21,243,56040.035
21,244,57745.28
21,245,51911.228
21,246,59323.623
21,247,52245.175
21,248,52900.423
21,249,53121.315
21,250,53060.811
21,251,54581.241
21,2933,38283.068
21,2938,35344.84
21,4021,67367.03
21,4022,76433.892
21,4023,58084.496
21,4024,74606.542
21,4026,68480.583
21,4027,72289.9
21,4028,75064.165
21,4029,74295.264
21,4030,60857.631
21,4031,77979.734
21,4033,70997.165
21,4034,63628.424
21,4035,74797.157
21,4036,71334.827
21,4037,76622.283
21,4038,69570.997
21,4039,78376.929
21,4040,62359.363
21,4041,75108.838
21,4042,72268.761
21,4043,70581.47
21,4044,74010.289
21,4045,65180.058
21,4046,74677.972
21,4048,58078.836
21,4061,63360.759
21,4062,64621.503
21,4066,77749.54
21,4067,77414.227
21,4072,78496.573
21,4074,63409.004
21,4075,62150.236
21,4077,74793.901
21,4081,74868.437
21,4083,66039.584
21,4084,65094.795
21,4093,83276.615
21,4107,80207.46
21,4123,76969.866
21,4301,76295.371
21,4302,75156.919
21,4305,75376.244
21,4306,66844.001
21,4308,52204.703
21,4312,71691.188
21,4314,57027
21,4315,66670.174
21,4317,58038.108
21,4318,66651.641
21,4319,71569.144
21,4321,77640.685
21,4322,72487.922
21,4571,27666.216
21,4601,9728
21,23001,15340.197
21,23002,17804.828
21,23003,20702.476
21,23004,20749.61
21,26101,43365.365
21,26102,48854.841
21,26103,48739.794
21,26104,45457.772
21,26105,45433.515
21,26106,42275.208
21,26107,43593.667
21,26108,43622.662
21,26109,48965.373
21,26110,43129.476
21,26111,39433.931
21,26112,40559.916
23,1,69971.197
23,2,70835.593
23,3,64055.909
23,5,68112.672
23,13,60394.185
23,14,61841.418
23,21,24347.036
23,23,801
23,24,3583.268
23,26,5215.078
23,28,801
23,30,18417.588
23,31,9086.086
23,32,6884.5
23,33,20004.594
23,37,31353.243
23,39,30511.17
23,43,2932.5
23,51,30785.876
23,52,37541.379
23,53,29220.716
23,54,36084.624
23,55,20142.59
23,56,31623.866
23,57,33753.93
23,58,25969.421
23,59,30345.286
23,60,30755.827
23,61,24885.578
23,62,37815.777
23,63,41608.552
23,64,30759.671
23,65,37450.772
23,66,39249.757
23,67,14380
23,68,32723.918
23,69,40766.199
23,70,24642.386
23,71,22992.367
23,72,39022.434
23,81,44326.074
23,82,55696.84
23,83,53157.956
23,84,52957.935
23,85,55565.424
23,86,39664.403
23,87,56727.468
23,88,35547.478
23,89,31591.783
23,90,33727.454
23,91,46868.104
23,92,33652.44
23,93,43916.438
